"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block","Area_mmsq"
"120","OREw",88,24,240006,30.638,1,1.109427735
"121","OREw",88,24,317367,40.514,1,1.4670289575
"122","OREw",88,24,343146,43.804,1,1.586192385
"123","OREw",88,24,335105,42.778,1,1.5490228625
"124","OREw",88,24,224415,28.648,1,1.0373583375
"125","OREw",88,24,264383,33.75,1,1.2221104175
"126","OREw",88,24,255526,32.619,1,1.181168935
"127","OREw",88,24,304855,38.916,1,1.4091922375
"128","OREw",88,24,303100,38.692,1,1.40107975
"129","OREw",91,24,277887,35.474,1,1.2845326575
"130","OREw",91,24,286310,36.549,1,1.323467975
"131","OREw",91,24,364948,46.588,1,1.68697213
"132","OREw",91,24,352118,44.95,1,1.627665455
"133","OREw",91,24,321694,41.066,1,1.487030515
"134","OREw",91,24,301830,38.53,1,1.395209175
"135","OREw",91,24,262978,33.571,1,1.215615805
"136","OREw",91,24,289085,36.903,1,1.3362954125
"137","OREw",91,24,271738,34.689,1,1.256108905
"138","OREw",91,24,249862,31.896,1,1.154987095
"139","OREw",91,24,270412,34.52,1,1.24997947
"140","OREw",91,24,352796,45.036,1,1.63079951
"141","OREw",91,24,281323,35.912,1,1.3004155675
"142","OREw",91,24,325553,41.559,1,1.5048687425
"143","OREw",91,24,274627,35.058,1,1.2694633075
"144","OREw",91,24,339328,43.317,1,1.56854368
"145","OREw",399,24,324505,41.425,1,1.5000243625
"146","OREw",399,24,327894,41.857,1,1.515690015
"147","OREw",399,24,370908,47.348,1,1.71452223
"148","OREw",399,24,339653,43.358,1,1.5700459925
"149","OREw",399,24,348897,44.539,1,1.6127763825
"150","OREw",399,24,356893,45.559,1,1.6497378925
"151","OREw",399,24,361439,46.14,1,1.6707517775
"152","OREw",399,24,375337,47.914,1,1.7349952825
"153","OREw",399,24,332711,42.472,1,1.5379565975
"154","OREw",399,24,345795,44.143,1,1.5984373875
"155","OREw",399,24,341708,43.621,1,1.57954523
"156","OREw",399,24,339326,43.317,1,1.568534435
"157","OREw",399,24,320535,40.918,1,1.4816730375
"158","OREw",399,24,307079,39.2,1,1.4194726775
"159","OREw",399,24,277562,35.432,1,1.283030345
"160","OREw",399,24,344878,44.025,1,1.594198555
"161","OREw",399,24,354238,45.22,1,1.637465155
"162","OREw",399,24,344987,44.039,1,1.5947024075
"163","OREw",399,24,323833,41.339,1,1.4969180425
"164","OREw",399,24,343124,43.802,1,1.58609069
"165","OREw",40,24,313685,40.044,1,1.4500089125
"166","OREw",40,24,363420,46.392,1,1.67990895
"167","OREw",40,24,344724,44.006,1,1.59348669
"168","OREw",40,24,347982,44.422,1,1.608546795
"169","OREw",40,24,297582,37.988,1,1.375572795
"170","OREw",40,24,347612,44.374,1,1.60683647
"171","OREw",40,24,333221,42.537,1,1.5403140725
"172","OREw",40,24,317249,40.498,1,1.4664835025
"173","OREw",40,24,319551,40.792,1,1.4771244975
"174","OREw",40,24,308757,39.414,1,1.4272292325
"175","OREw",40,24,318603,40.671,1,1.4727423675
"176","OREw",40,24,279692,35.704,1,1.29287627
"177","OREw",40,24,295882,37.771,1,1.367714545
"178","OREw",40,24,348615,44.503,1,1.6114728375
"179","OREw",40,24,341295,43.568,1,1.5776361375
"180","OREw",40,24,308455,39.376,1,1.4258332375
"181","OREw",40,24,348873,44.535,1,1.6126654425
"182","OREw",40,24,355693,45.406,1,1.6441908925
"183","OREw",40,24,217737,27.795,1,1.0064892825
"184","OREw",40,24,282964,36.122,1,1.30800109
"185","OREw",41,24,345296,44.079,1,1.59613076
"186","OREw",41,24,348529,44.492,1,1.6110753025
"187","OREw",41,24,296313,37.826,1,1.3697068425
"188","OREw",41,24,333523,42.576,1,1.5417100675
"189","OREw",41,24,333482,42.571,1,1.541520545
"190","OREw",41,24,332404,42.433,1,1.53653749
"191","OREw",41,24,350699,44.769,1,1.6211061275
"192","OREw",41,24,311482,39.762,1,1.439825545
"193","OREw",41,24,207713,26.516,1,0.9601533425
"194","OREw",41,24,339023,43.278,1,1.5671338175
"195","OREw",41,24,311089,39.712,1,1.4380089025
"196","OREw",41,24,247057,31.538,1,1.1420209825
"197","OREw",41,24,267642,34.166,1,1.237175145
"198","OREw",41,24,247407,31.583,1,1.1436388575
"199","OREw",41,24,234757,29.968,1,1.0851642325
"200","OREw",41,24,274271,35.012,1,1.2678176975
"201","OREw",41,24,303621,38.759,1,1.4034880725
"202","OREw",41,24,265940,33.949,1,1.22930765
"203","OREw",41,24,229807,29.336,1,1.0622828575
"204","OREw",41,24,217178,27.724,1,1.003905305
"205","OREw",42,24,326569,41.688,1,1.5095652025
"206","OREw",42,24,340276,43.438,1,1.57292581
"207","OREw",42,24,313941,40.076,1,1.4511922725
"208","OREw",42,24,315458,40.27,1,1.458204605
"209","OREw",42,24,345949,44.162,1,1.5991492525
"210","OREw",42,24,359176,45.851,1,1.66029106
"211","OREw",42,24,275122,35.121,1,1.271751445
"212","OREw",42,24,316338,40.382,1,1.462272405
"213","OREw",42,24,300380,38.345,1,1.38850655
"214","OREw",42,24,312547,39.898,1,1.4447485075
"215","OREw",42,24,297176,37.936,1,1.37369606
"216","OREw",42,24,356199,45.471,1,1.6465298775
"217","OREw",42,24,349324,44.593,1,1.61475019
"218","OREw",42,24,284984,36.38,1,1.31733854
"219","OREw",42,24,348857,44.533,1,1.6125914825
"220","OREw",42,24,358912,45.817,1,1.65907072
"221","OREw",42,24,345647,44.124,1,1.5977532575
"222","OREw",42,24,332624,42.461,1,1.53755444
"223","OREw",42,24,338933,43.267,1,1.5667177925
"224","OREw",42,24,314566,40.156,1,1.454081335
"225","OREw",45,24,327754,41.84,1,1.515042865
"226","OREw",45,24,356166,45.466,1,1.646377335
"227","OREw",45,24,359011,45.83,1,1.6595283475
"228","OREw",45,24,273693,34.938,1,1.2651458925
"229","OREw",45,24,363628,46.419,1,1.68087043
"230","OREw",45,24,249488,31.848,1,1.15325828
"231","OREw",45,24,343579,43.86,1,1.5881939275
"232","OREw",45,24,331902,42.369,1,1.534216995
"233","OREw",45,24,241028,30.768,1,1.11415193
"234","OREw",45,24,310694,39.662,1,1.436183015
"235","OREw",45,24,255821,32.657,1,1.1825325725
"236","OREw",45,24,277839,35.468,1,1.2843107775
"237","OREw",45,24,269192,34.364,1,1.24434002
"238","OREw",45,24,238774,30.481,1,1.103732815
"239","OREw",45,24,256419,32.733,1,1.1852968275
"240","OREw",45,24,343734,43.879,1,1.588910415
"241","OREw",45,24,280327,35.785,1,1.2958115575
"242","OREw",45,24,338036,43.152,1,1.56257141
"243","OREw",45,24,294757,37.627,1,1.3625142325
"244","OREw",45,24,349384,44.601,1,1.61502754
"245","OREw",21,24,333515,42.575,1,1.5416730875
"246","OREw",21,24,333049,42.515,1,1.5395190025
"247","OREw",21,24,331435,42.309,1,1.5320582875
"248","OREw",21,24,331400,42.305,1,1.5318965
"249","OREw",21,24,269441,34.396,1,1.2454910225
"250","OREw",21,24,357247,45.604,1,1.6513742575
"251","OREw",21,24,283997,36.254,1,1.3127761325
"252","OREw",21,24,271421,34.648,1,1.2546435725
"253","OREw",21,24,314559,40.155,1,1.4540489775
"254","OREw",21,24,345954,44.163,1,1.599172365
"255","OREw",21,24,322215,41.132,1,1.4894388375
"256","OREw",21,24,339955,43.397,1,1.5714419875
"257","OREw",21,24,345806,44.144,1,1.598488235
"258","OREw",21,24,301706,38.514,1,1.394635985
"259","OREw",21,24,284453,36.312,1,1.3148839925
"260","OREw",21,24,278032,35.492,1,1.28520292
"261","OREw",21,24,331677,42.34,1,1.5331769325
"262","OREw",26,24,333742,42.604,1,1.542722395
"263","OREw",26,24,315300,40.25,1,1.45747425
"264","OREw",26,24,304115,38.822,1,1.4057715875
"265","OREw",26,24,349131,44.568,1,1.6138580475
"266","OREw",26,24,346928,44.287,1,1.60367468
"267","OREw",26,24,307433,39.245,1,1.4211090425
"268","OREw",26,24,346217,44.196,1,1.6003880825
"269","OREw",26,24,305272,38.97,1,1.41111982
"270","OREw",26,24,290808,37.123,1,1.34425998
"271","OREw",26,24,264870,33.812,1,1.224361575
"272","OREw",26,24,332813,42.485,1,1.5384280925
"273","OREw",26,24,307007,39.191,1,1.4191398575
"274","OREw",26,24,370783,47.332,1,1.7139444175
"275","OREw",26,24,289482,36.954,1,1.338130545
"276","OREw",28,24,306819,39.167,1,1.4182708275
