"Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"OREw","399",24,277562,35.432,"1"
"OREw","399",24,344878,44.025,"1"
"OREw","399",24,354238,45.22,"1"
"OREw","399",24,344987,44.039,"1"
"OREw","399",24,323833,41.339,"1"
"OREw","399",24,343124,43.802,"1"
"OREw","040",24,313685,40.044,"1"
"OREw","040",24,363420,46.392,"1"
"OREw","040",24,344724,44.006,"1"
"OREw","040",24,347982,44.422,"1"
"OREw","040",24,297582,37.988,"1"
"OREw","040",24,347612,44.374,"1"
"OREw","040",24,333221,42.537,"1"
"OREw","040",24,317249,40.498,"1"
"OREw","040",24,319551,40.792,"1"
"OREw","040",24,308757,39.414,"1"
"OREw","040",24,318603,40.671,"1"
"OREw","040",24,279692,35.704,"1"
"OREw","040",24,295882,37.771,"1"
"OREw","040",24,348615,44.503,"1"
"OREw","040",24,341295,43.568,"1"
"OREw","040",24,308455,39.376,"1"
"OREw","040",24,348873,44.535,"1"
"OREw","040",24,355693,45.406,"1"
"OREw","040",24,217737,27.795,"1"
"OREw","040",24,282964,36.122,"1"
"OREw","041",24,345296,44.079,"1"
"OREw","041",24,348529,44.492,"1"
"OREw","041",24,296313,37.826,"1"
"OREw","041",24,333523,42.576,"1"
"OREw","041",24,333482,42.571,"1"
"OREw","041",24,332404,42.433,"1"
"OREw","041",24,350699,44.769,"1"
"OREw","041",24,311482,39.762,"1"
"OREw","041",24,207713,26.516,"1"
"OREw","041",24,339023,43.278,"1"
"OREw","041",24,311089,39.712,"1"
"OREw","041",24,247057,31.538,"1"
"OREw","041",24,267642,34.166,"1"
"OREw","041",24,247407,31.583,"1"
"OREw","041",24,234757,29.968,"1"
"OREw","041",24,274271,35.012,"1"
"OREw","041",24,303621,38.759,"1"
"OREw","041",24,265940,33.949,"1"
"OREw","041",24,229807,29.336,"1"
"OREw","041",24,217178,27.724,"1"
"OREw","042",24,326569,41.688,"1"
"OREw","042",24,340276,43.438,"1"
"OREw","042",24,313941,40.076,"1"
"OREw","042",24,315458,40.27,"1"
"OREw","042",24,345949,44.162,"1"
"OREw","042",24,359176,45.851,"1"
"OREw","042",24,275122,35.121,"1"
"OREw","042",24,316338,40.382,"1"
"OREw","042",24,300380,38.345,"1"
"OREw","042",24,312547,39.898,"1"
"OREw","042",24,297176,37.936,"1"
"OREw","042",24,356199,45.471,"1"
"OREw","042",24,349324,44.593,"1"
"OREw","042",24,284984,36.38,"1"
"OREw","042",24,348857,44.533,"1"
"OREw","042",24,358912,45.817,"1"
"OREw","042",24,345647,44.124,"1"
"OREw","042",24,332624,42.461,"1"
"OREw","042",24,338933,43.267,"1"
"OREw","042",24,314566,40.156,"1"
"OREw","045",24,327754,41.84,"1"
"OREw","045",24,356166,45.466,"1"
"OREw","045",24,359011,45.83,"1"
"OREw","045",24,273693,34.938,"1"
"OREw","045",24,363628,46.419,"1"
"OREw","045",24,249488,31.848,"1"
"OREw","045",24,343579,43.86,"1"
"OREw","045",24,331902,42.369,"1"
"OREw","045",24,241028,30.768,"1"
"OREw","045",24,310694,39.662,"1"
"OREw","045",24,255821,32.657,"1"
"OREw","045",24,277839,35.468,"1"
"OREw","045",24,269192,34.364,"1"
"OREw","045",24,238774,30.481,"1"
"OREw","045",24,256419,32.733,"1"
"OREw","045",24,343734,43.879,"1"
"OREw","045",24,280327,35.785,"1"
"OREw","045",24,338036,43.152,"1"
"OREw","045",24,294757,37.627,"1"
"OREw","045",24,349384,44.601,"1"
"OREw","021",24,333515,42.575,"1"
"OREw","021",24,333049,42.515,"1"
"OREw","021",24,331435,42.309,"1"
"OREw","021",24,331400,42.305,"1"
"OREw","021",24,269441,34.396,"1"
"OREw","021",24,357247,45.604,"1"
"OREw","021",24,283997,36.254,"1"
"OREw","021",24,271421,34.648,"1"
"OREw","021",24,314559,40.155,"1"
"OREw","021",24,345954,44.163,"1"
"OREw","021",24,322215,41.132,"1"
"OREw","021",24,339955,43.397,"1"
"OREw","021",24,345806,44.144,"1"
"OREw","021",24,301706,38.514,"1"
"OREw","021",24,284453,36.312,"1"
"OREw","021",24,278032,35.492,"1"
"OREw","021",24,331677,42.34,"1"
"OREw","026",24,333742,42.604,"1"
"OREw","026",24,315300,40.25,"1"
"OREw","026",24,304115,38.822,"1"
"OREw","026",24,349131,44.568,"1"
"OREw","026",24,346928,44.287,"1"
"OREw","026",24,307433,39.245,"1"
"OREw","026",24,346217,44.196,"1"
"OREw","026",24,305272,38.97,"1"
"OREw","026",24,290808,37.123,"1"
"OREw","026",24,264870,33.812,"1"
"OREw","026",24,332813,42.485,"1"
"OREw","026",24,307007,39.191,"1"
"OREw","026",24,370783,47.332,"1"
"OREw","026",24,289482,36.954,"1"
"OREw","028",24,306819,39.167,"1"
"OREw","028",24,354473,45.25,"1"
"OREw","028",24,295755,37.755,"1"
