"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"138","OREw","091","24",249862,31.896,"B1"
"139","OREw","091","24",270412,34.52,"B1"
"140","OREw","091","24",352796,45.036,"B1"
"141","OREw","091","24",281323,35.912,"B1"
"142","OREw","091","24",325553,41.559,"B1"
"143","OREw","091","24",274627,35.058,"B1"
"144","OREw","091","24",339328,43.317,"B1"
"145","OREw","399","24",324505,41.425,"B1"
"146","OREw","399","24",327894,41.857,"B1"
"147","OREw","399","24",370908,47.348,"B1"
"148","OREw","399","24",339653,43.358,"B1"
"149","OREw","399","24",348897,44.539,"B1"
"150","OREw","399","24",356893,45.559,"B1"
"151","OREw","399","24",361439,46.14,"B1"
"152","OREw","399","24",375337,47.914,"B1"
"153","OREw","399","24",332711,42.472,"B1"
"154","OREw","399","24",345795,44.143,"B1"
"155","OREw","399","24",341708,43.621,"B1"
"156","OREw","399","24",339326,43.317,"B1"
"157","OREw","399","24",320535,40.918,"B1"
"158","OREw","399","24",307079,39.2,"B1"
"159","OREw","399","24",277562,35.432,"B1"
"160","OREw","399","24",344878,44.025,"B1"
"161","OREw","399","24",354238,45.22,"B1"
"162","OREw","399","24",344987,44.039,"B1"
"163","OREw","399","24",323833,41.339,"B1"
"164","OREw","399","24",343124,43.802,"B1"
"165","OREw","040","24",313685,40.044,"B1"
"166","OREw","040","24",363420,46.392,"B1"
"167","OREw","040","24",344724,44.006,"B1"
"168","OREw","040","24",347982,44.422,"B1"
"169","OREw","040","24",297582,37.988,"B1"
"170","OREw","040","24",347612,44.374,"B1"
"171","OREw","040","24",333221,42.537,"B1"
"172","OREw","040","24",317249,40.498,"B1"
"173","OREw","040","24",319551,40.792,"B1"
"174","OREw","040","24",308757,39.414,"B1"
"175","OREw","040","24",318603,40.671,"B1"
"176","OREw","040","24",279692,35.704,"B1"
"177","OREw","040","24",295882,37.771,"B1"
"178","OREw","040","24",348615,44.503,"B1"
"179","OREw","040","24",341295,43.568,"B1"
"180","OREw","040","24",308455,39.376,"B1"
"181","OREw","040","24",348873,44.535,"B1"
"182","OREw","040","24",355693,45.406,"B1"
"183","OREw","040","24",217737,27.795,"B1"
"184","OREw","040","24",282964,36.122,"B1"
"185","OREw","041","24",345296,44.079,"B1"
"186","OREw","041","24",348529,44.492,"B1"
"187","OREw","041","24",296313,37.826,"B1"
"188","OREw","041","24",333523,42.576,"B1"
"189","OREw","041","24",333482,42.571,"B1"
"190","OREw","041","24",332404,42.433,"B1"
"191","OREw","041","24",350699,44.769,"B1"
"192","OREw","041","24",311482,39.762,"B1"
"193","OREw","041","24",207713,26.516,"B1"
"194","OREw","041","24",339023,43.278,"B1"
"195","OREw","041","24",311089,39.712,"B1"
"196","OREw","041","24",247057,31.538,"B1"
"197","OREw","041","24",267642,34.166,"B1"
"198","OREw","041","24",247407,31.583,"B1"
"199","OREw","041","24",234757,29.968,"B1"
"200","OREw","041","24",274271,35.012,"B1"
"201","OREw","041","24",303621,38.759,"B1"
"202","OREw","041","24",265940,33.949,"B1"
"203","OREw","041","24",229807,29.336,"B1"
"204","OREw","041","24",217178,27.724,"B1"
"205","OREw","042","24",326569,41.688,"B1"
"206","OREw","042","24",340276,43.438,"B1"
"207","OREw","042","24",313941,40.076,"B1"
"208","OREw","042","24",315458,40.27,"B1"
"209","OREw","042","24",345949,44.162,"B1"
"210","OREw","042","24",359176,45.851,"B1"
"211","OREw","042","24",275122,35.121,"B1"
"212","OREw","042","24",316338,40.382,"B1"
"213","OREw","042","24",300380,38.345,"B1"
"214","OREw","042","24",312547,39.898,"B1"
"215","OREw","042","24",297176,37.936,"B1"
"216","OREw","042","24",356199,45.471,"B1"
"217","OREw","042","24",349324,44.593,"B1"
"218","OREw","042","24",284984,36.38,"B1"
"219","OREw","042","24",348857,44.533,"B1"
"220","OREw","042","24",358912,45.817,"B1"
"221","OREw","042","24",345647,44.124,"B1"
"222","OREw","042","24",332624,42.461,"B1"
"223","OREw","042","24",338933,43.267,"B1"
"224","OREw","042","24",314566,40.156,"B1"
"225","OREw","045","24",327754,41.84,"B1"
"226","OREw","045","24",356166,45.466,"B1"
"227","OREw","045","24",359011,45.83,"B1"
"228","OREw","045","24",273693,34.938,"B1"
"229","OREw","045","24",363628,46.419,"B1"
